epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2052.08,1.28185,0.8632,0.00431,0.67478,0.87678,0.82784,0.55594,1.18217,0.74911,0.0053,0.000127645,0.000127645,0.000127645
43,2100.33,1.25735,0.85046,0.00434,0.6815,0.87615,0.82899,0.55485,1.18722,0.75361,0.00531,0.00012649,0.00012649,0.00012649
44,2147.86,1.27964,0.84152,0.00442,0.69243,0.8666,0.83586,0.55827,1.19686,0.73984,0.00536,0.000125335,0.000125335,0.000125335
45,2195.95,1.26433,0.85246,0.00435,0.68566,0.87898,0.83431,0.55565,1.20368,0.74444,0.00539,0.00012418,0.00012418,0.00012418
46,2243.99,1.26729,0.82408,0.00432,0.70534,0.86229,0.83667,0.56162,1.18713,0.7289,0.0053,0.000123025,0.000123025,0.000123025
47,2291.7,1.27679,0.85567,0.00437,0.70361,0.87611,0.84662,0.57036,1.16745,0.72533,0.0052,0.00012187,0.00012187,0.00012187
48,2339.92,1.25111,0.82778,0.00425,0.6882,0.87529,0.84087,0.56185,1.18374,0.73604,0.00528,0.000120715,0.000120715,0.000120715
49,2387.32,1.23584,0.81166,0.00422,0.71331,0.86965,0.84605,0.57398,1.16101,0.71574,0.0052,0.00011956,0.00011956,0.00011956
50,2435.95,1.23786,0.82211,0.00427,0.69818,0.8906,0.85246,0.58283,1.13369,0.69131,0.00511,0.000118405,0.000118405,0.000118405
51,2483.69,1.22504,0.78865,0.00415,0.71361,0.85903,0.84594,0.57447,1.15202,0.72451,0.00515,0.00011725,0.00011725,0.00011725
52,2532.17,1.24677,0.82109,0.00425,0.70519,0.87797,0.84637,0.57247,1.16287,0.72945,0.00517,0.000116095,0.000116095,0.000116095
53,2579.34,1.23056,0.80104,0.00423,0.72201,0.86327,0.8556,0.58504,1.13449,0.6995,0.00508,0.00011494,0.00011494,0.00011494
54,2627.42,1.24089,0.7947,0.0042,0.71699,0.8538,0.83814,0.56803,1.15702,0.72606,0.00517,0.000113785,0.000113785,0.000113785
55,2675.01,1.22181,0.78701,0.00418,0.69867,0.88045,0.85207,0.58342,1.12396,0.71506,0.00501,0.00011263,0.00011263,0.00011263
56,2722.47,1.21167,0.78355,0.00418,0.71326,0.87954,0.85078,0.58138,1.13339,0.70759,0.00506,0.000111475,0.000111475,0.000111475
57,2771.1,1.21469,0.7951,0.00413,0.71245,0.87746,0.84449,0.57632,1.13635,0.72004,0.00508,0.00011032,0.00011032,0.00011032
58,2819.16,1.20299,0.79301,0.00412,0.71619,0.87977,0.85623,0.58873,1.11922,0.68601,0.00501,0.000109165,0.000109165,0.000109165
59,2866.42,1.19073,0.76361,0.00414,0.7164,0.89373,0.86786,0.60136,1.10786,0.67013,0.00496,0.00010801,0.00010801,0.00010801
60,2914.8,1.18844,0.75647,0.00401,0.73837,0.87127,0.86716,0.59857,1.11235,0.67681,0.00497,0.000106855,0.000106855,0.000106855
61,2963.11,1.18136,0.76122,0.0041,0.73414,0.89823,0.87354,0.60829,1.09577,0.65574,0.00491,0.0001057,0.0001057,0.0001057
62,3011.42,1.18873,0.76562,0.00394,0.73263,0.87878,0.87106,0.59977,1.12969,0.67808,0.00504,0.000104545,0.000104545,0.000104545
63,3060.73,1.18611,0.76217,0.00404,0.73744,0.88113,0.87033,0.60702,1.08931,0.66261,0.00488,0.00010339,0.00010339,0.00010339
64,3109.37,1.18638,0.76204,0.00399,0.74728,0.88289,0.87027,0.60854,1.08863,0.66207,0.00487,0.000102235,0.000102235,0.000102235
65,3158.52,1.15969,0.76333,0.00398,0.72458,0.89776,0.86907,0.6081,1.08783,0.66666,0.00486,0.00010108,0.00010108,0.00010108
66,3207.78,1.14704,0.7318,0.00384,0.77225,0.87361,0.88307,0.62041,1.07956,0.63889,0.0048,9.9925e-05,9.9925e-05,9.9925e-05
67,3257.47,1.16793,0.73105,0.00396,0.75486,0.8814,0.87813,0.6164,1.09056,0.6445,0.00486,9.877e-05,9.877e-05,9.877e-05
68,3306.92,1.15618,0.73843,0.00391,0.77131,0.87596,0.88325,0.6245,1.06287,0.62329,0.00472,9.7615e-05,9.7615e-05,9.7615e-05
69,3356.12,1.15558,0.74524,0.00393,0.75786,0.86218,0.88088,0.61943,1.07223,0.64725,0.00476,9.646e-05,9.646e-05,9.646e-05
70,3405.22,1.15485,0.71433,0.00388,0.76857,0.85985,0.88174,0.62526,1.05972,0.63319,0.00473,9.5305e-05,9.5305e-05,9.5305e-05
71,3453.06,1.13365,0.70719,0.00381,0.74072,0.89283,0.88047,0.62293,1.06871,0.64202,0.00477,9.415e-05,9.415e-05,9.415e-05
72,3501.34,1.12885,0.69298,0.00376,0.76741,0.88507,0.89126,0.63527,1.05051,0.61208,0.00468,9.2995e-05,9.2995e-05,9.2995e-05
73,3549.39,1.12882,0.71247,0.00386,0.76937,0.8917,0.8927,0.63701,1.0427,0.60932,0.00463,9.184e-05,9.184e-05,9.184e-05
74,3597.01,1.11356,0.71599,0.00378,0.76769,0.88222,0.89093,0.63691,1.03354,0.61879,0.0046,9.0685e-05,9.0685e-05,9.0685e-05
75,3645.31,1.12568,0.70123,0.00376,0.76198,0.88574,0.88957,0.63437,1.04368,0.61911,0.00466,8.953e-05,8.953e-05,8.953e-05
76,3693.25,1.13349,0.69273,0.00386,0.7711,0.89712,0.89304,0.63954,1.02656,0.59614,0.00456,8.8375e-05,8.8375e-05,8.8375e-05
77,3743.22,1.10241,0.69199,0.00368,0.77479,0.89246,0.89966,0.64658,1.02602,0.59254,0.00456,8.722e-05,8.722e-05,8.722e-05
78,3792.28,1.09889,0.6808,0.0037,0.78489,0.88639,0.90124,0.64876,1.02887,0.58784,0.00459,8.6065e-05,8.6065e-05,8.6065e-05
79,3841.62,1.12571,0.69063,0.00379,0.78112,0.88748,0.8986,0.64589,1.02683,0.58906,0.00455,8.491e-05,8.491e-05,8.491e-05
80,3890.78,1.08589,0.69134,0.00367,0.78594,0.87599,0.89582,0.6401,1.0385,0.60662,0.0046,8.3755e-05,8.3755e-05,8.3755e-05
81,3939.89,1.07965,0.64855,0.00367,0.80258,0.89076,0.9114,0.66148,1.00594,0.56198,0.00446,8.26e-05,8.26e-05,8.26e-05
82,3989.75,1.06849,0.6553,0.00357,0.7925,0.89188,0.89993,0.65569,0.9971,0.57528,0.00445,8.1445e-05,8.1445e-05,8.1445e-05
83,4038.59,1.08524,0.66749,0.00365,0.79255,0.89935,0.90725,0.6607,0.99801,0.57206,0.00442,8.029e-05,8.029e-05,8.029e-05
84,4088.14,1.08818,0.65047,0.0037,0.80759,0.89003,0.90978,0.66553,0.99284,0.55886,0.0044,7.9135e-05,7.9135e-05,7.9135e-05
85,4135.98,1.08144,0.65266,0.00366,0.8039,0.88821,0.91248,0.67054,0.97971,0.55755,0.00435,7.798e-05,7.798e-05,7.798e-05
86,4183.66,1.04965,0.65941,0.00351,0.79519,0.89269,0.9084,0.66271,0.98595,0.57576,0.00435,7.6825e-05,7.6825e-05,7.6825e-05
87,4231.89,1.06946,0.65566,0.00366,0.79054,0.90072,0.90883,0.66927,0.98006,0.56407,0.00433,7.567e-05,7.567e-05,7.567e-05
88,4280.32,1.06344,0.63334,0.00354,0.80386,0.90898,0.9184,0.67801,0.97026,0.54301,0.0043,7.4515e-05,7.4515e-05,7.4515e-05
89,4328.33,1.04652,0.6401,0.00354,0.81316,0.89388,0.91943,0.68447,0.94802,0.53696,0.00421,7.336e-05,7.336e-05,7.336e-05
90,4376.29,1.03705,0.62674,0.00349,0.82505,0.89648,0.92158,0.6851,0.94736,0.52989,0.00421,7.2205e-05,7.2205e-05,7.2205e-05
91,4424.03,1.0307,0.63357,0.00341,0.8305,0.88447,0.92231,0.68669,0.94685,0.53632,0.00418,7.105e-05,7.105e-05,7.105e-05
92,4472.31,1.01971,0.62313,0.00343,0.82538,0.89163,0.92191,0.68899,0.93863,0.53355,0.00419,6.9895e-05,6.9895e-05,6.9895e-05
93,4520.42,1.01891,0.60979,0.00337,0.83279,0.88526,0.92231,0.6885,0.93653,0.52828,0.00414,6.874e-05,6.874e-05,6.874e-05
94,4568.4,1.02571,0.60964,0.0035,0.83463,0.88975,0.92877,0.69823,0.921,0.51716,0.00408,6.7585e-05,6.7585e-05,6.7585e-05
95,4616.11,1.01129,0.61336,0.00341,0.81467,0.91336,0.92938,0.69263,0.93848,0.52203,0.00416,6.643e-05,6.643e-05,6.643e-05
96,4664.07,1.03606,0.61192,0.00348,0.83211,0.90954,0.9348,0.70316,0.92508,0.50456,0.0041,6.5275e-05,6.5275e-05,6.5275e-05
97,4712.18,1.00155,0.5978,0.00343,0.8418,0.89476,0.93287,0.70409,0.91033,0.50498,0.00402,6.412e-05,6.412e-05,6.412e-05
98,4762.78,0.98967,0.58264,0.00334,0.83502,0.90898,0.933,0.7061,0.90427,0.5011,0.004,6.2965e-05,6.2965e-05,6.2965e-05
99,4810.7,0.99656,0.60086,0.00335,0.83187,0.89803,0.92711,0.69794,0.91601,0.52252,0.00405,6.181e-05,6.181e-05,6.181e-05
100,4860.49,0.9967,0.59107,0.0033,0.83938,0.91303,0.93662,0.71175,0.89137,0.49605,0.00396,6.0655e-05,6.0655e-05,6.0655e-05
101,4909.91,0.97522,0.59506,0.00325,0.83868,0.89718,0.93383,0.70815,0.90365,0.50637,0.004,5.95e-05,5.95e-05,5.95e-05
102,4959.56,0.99257,0.59484,0.0033,0.84298,0.91631,0.94241,0.7193,0.88343,0.481,0.00389,5.8345e-05,5.8345e-05,5.8345e-05
103,5008.85,0.97733,0.55654,0.00321,0.85053,0.90855,0.93848,0.71345,0.89287,0.49378,0.00394,5.719e-05,5.719e-05,5.719e-05
104,5058.11,0.97828,0.56052,0.00329,0.85296,0.90391,0.94196,0.71889,0.88668,0.4798,0.00392,5.6035e-05,5.6035e-05,5.6035e-05
105,5108.22,0.98906,0.57764,0.00329,0.85741,0.91371,0.94073,0.7206,0.87868,0.48209,0.00388,5.488e-05,5.488e-05,5.488e-05
106,5159.4,0.96684,0.55687,0.00324,0.85622,0.91276,0.94253,0.72361,0.87401,0.48101,0.00387,5.3725e-05,5.3725e-05,5.3725e-05
107,5207,0.94716,0.54505,0.00316,0.85722,0.90086,0.94132,0.72103,0.8815,0.48576,0.00388,5.257e-05,5.257e-05,5.257e-05
108,5255.46,0.93591,0.54778,0.00315,0.85472,0.90894,0.94201,0.7221,0.88287,0.48232,0.00389,5.1415e-05,5.1415e-05,5.1415e-05
109,5303.08,0.94866,0.5441,0.00318,0.84577,0.92612,0.94511,0.72791,0.86566,0.46342,0.00382,5.026e-05,5.026e-05,5.026e-05
110,5351.45,0.94922,0.54324,0.00319,0.85665,0.91166,0.94518,0.72878,0.86698,0.46863,0.00383,4.9105e-05,4.9105e-05,4.9105e-05
111,5399.82,0.93631,0.53312,0.00315,0.85379,0.91129,0.9407,0.72356,0.87246,0.47879,0.00385,4.795e-05,4.795e-05,4.795e-05
112,5448.15,0.93293,0.53628,0.00313,0.86735,0.90407,0.94981,0.73551,0.8502,0.46002,0.00374,4.6795e-05,4.6795e-05,4.6795e-05
113,5497.1,0.9378,0.54514,0.00305,0.86102,0.92001,0.94565,0.73196,0.84878,0.46873,0.00374,4.564e-05,4.564e-05,4.564e-05
114,5545.98,0.92683,0.51639,0.00309,0.86302,0.91416,0.94729,0.73746,0.83634,0.46325,0.0037,4.4485e-05,4.4485e-05,4.4485e-05
115,5595.74,0.93333,0.53124,0.00311,0.86033,0.91533,0.94702,0.73621,0.84689,0.46278,0.00373,4.333e-05,4.333e-05,4.333e-05
116,5645.51,0.92359,0.52484,0.00312,0.87165,0.91244,0.9503,0.74112,0.8344,0.45741,0.00368,4.2175e-05,4.2175e-05,4.2175e-05
117,5694.91,0.92529,0.54032,0.0031,0.87588,0.90968,0.9502,0.74316,0.82903,0.45122,0.00366,4.102e-05,4.102e-05,4.102e-05
118,5744.18,0.92395,0.5247,0.00309,0.87591,0.9158,0.95316,0.7473,0.816,0.4427,0.00359,3.9865e-05,3.9865e-05,3.9865e-05
119,5794.04,0.91939,0.52874,0.00308,0.87426,0.90804,0.94978,0.74188,0.82637,0.45399,0.00364,3.871e-05,3.871e-05,3.871e-05
120,5843.26,0.8987,0.51085,0.003,0.8827,0.91658,0.95442,0.75021,0.81128,0.43306,0.00358,3.7555e-05,3.7555e-05,3.7555e-05
121,5891.26,0.88362,0.50997,0.00294,0.8716,0.91157,0.95287,0.74916,0.81066,0.44392,0.00356,3.64e-05,3.64e-05,3.64e-05
122,5939.27,0.89129,0.51468,0.00299,0.87864,0.91505,0.95451,0.75413,0.80089,0.43217,0.00352,3.5245e-05,3.5245e-05,3.5245e-05
123,5987.23,0.89347,0.50043,0.00301,0.87385,0.91854,0.95439,0.7524,0.80631,0.43321,0.00355,3.409e-05,3.409e-05,3.409e-05
124,6035.53,0.89322,0.5118,0.00298,0.87473,0.91376,0.95434,0.75354,0.79906,0.43921,0.00351,3.2935e-05,3.2935e-05,3.2935e-05
