epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2494.26,0.33838,0.25569,0.0059,0.97944,0.98974,0.99169,0.98783,0.12599,0.09064,0.00319,0.000569094,0.000569094,0.000569094
43,2543.67,0.35238,0.26602,0.006,0.98268,0.97735,0.98933,0.98777,0.10661,0.1138,0.00269,0.000565559,0.000565559,0.000565559
44,2606.25,0.34315,0.25837,0.00581,0.9811,0.98935,0.99219,0.99002,0.11056,0.09615,0.00275,0.000562025,0.000562025,0.000562025
45,2667.55,0.35104,0.25613,0.00621,0.98076,0.97998,0.98866,0.98684,0.129,0.11621,0.00323,0.000558491,0.000558491,0.000558491
46,2717.06,0.34893,0.25924,0.00609,0.98198,0.98574,0.9898,0.98893,0.11379,0.10655,0.00298,0.000554956,0.000554956,0.000554956
47,2766.21,0.32601,0.24862,0.00567,0.98973,0.97876,0.99075,0.98913,0.11773,0.10719,0.00295,0.000551422,0.000551422,0.000551422
48,2815.31,0.34487,0.27264,0.00604,0.9809,0.9927,0.99245,0.98742,0.13085,0.09527,0.00337,0.000547888,0.000547888,0.000547888
49,2877.52,0.32832,0.24132,0.0056,0.98715,0.98174,0.99211,0.98928,0.12574,0.08789,0.00322,0.000544354,0.000544354,0.000544354
50,2939.26,0.33071,0.25496,0.00575,0.97968,0.98396,0.9924,0.99062,0.11643,0.09782,0.00296,0.000540819,0.000540819,0.000540819
51,2988.64,0.33665,0.25807,0.00579,0.98688,0.97993,0.99214,0.99053,0.1045,0.08907,0.00257,0.000537285,0.000537285,0.000537285
52,3038.48,0.33135,0.2517,0.00576,0.97898,0.99059,0.99164,0.9896,0.10979,0.08729,0.00282,0.000533751,0.000533751,0.000533751
53,3100.81,0.31229,0.23964,0.00548,0.98263,0.98788,0.99032,0.98808,0.1066,0.09265,0.00268,0.000530216,0.000530216,0.000530216
54,3162.52,0.32794,0.26547,0.00557,0.98379,0.99259,0.99074,0.9902,0.09688,0.07047,0.00239,0.000526682,0.000526682,0.000526682
