epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1001.8,0.40355,0.31054,0.00712,0.98691,0.98823,0.99451,0.992,0.16389,0.09958,0.00407,0.000520792,0.000520792,0.000520792
43,1025.41,0.39575,0.3039,0.00672,0.98264,0.98145,0.99397,0.98467,0.17722,0.10653,0.00462,0.000516079,0.000516079,0.000516079
44,1048.56,0.38632,0.28733,0.00675,0.9876,0.98761,0.99471,0.98971,0.15877,0.08817,0.00392,0.000511367,0.000511367,0.000511367
45,1071.38,0.41558,0.32841,0.0072,0.99463,0.98438,0.99467,0.9874,0.16407,0.08896,0.00406,0.000506654,0.000506654,0.000506654
46,1094.88,0.37851,0.32286,0.00656,0.98082,0.97843,0.99404,0.99073,0.16969,0.09684,0.00425,0.000501942,0.000501942,0.000501942
47,1117.74,0.43066,0.33366,0.00771,0.98319,0.98819,0.99383,0.98696,0.19082,0.10353,0.00487,0.00049723,0.00049723,0.00049723
48,1140.55,0.39471,0.29488,0.00688,0.99287,0.98885,0.99437,0.99202,0.1391,0.08055,0.00345,0.000492517,0.000492517,0.000492517
49,1163.76,0.3958,0.33632,0.00703,0.9855,0.97748,0.9941,0.99076,0.16119,0.10357,0.00406,0.000487805,0.000487805,0.000487805
50,1186.68,0.38519,0.31429,0.00676,0.98873,0.99472,0.99427,0.99122,0.14481,0.08021,0.00363,0.000483092,0.000483092,0.000483092
51,1209.68,0.36951,0.30014,0.00648,0.99276,0.9861,0.99437,0.99266,0.15329,0.08756,0.00385,0.00047838,0.00047838,0.00047838
52,1232.47,0.39424,0.30923,0.00703,0.98748,0.98587,0.99439,0.99105,0.15458,0.09003,0.00388,0.000473668,0.000473668,0.000473668
53,1255.44,0.39445,0.30899,0.00703,0.98872,0.98386,0.99429,0.9901,0.17477,0.09863,0.00433,0.000468955,0.000468955,0.000468955
54,1278.18,0.38578,0.29645,0.00669,0.9885,0.99223,0.99464,0.98633,0.16023,0.08803,0.00422,0.000464243,0.000464243,0.000464243
55,1300.95,0.38815,0.28403,0.00691,0.99436,0.98494,0.99461,0.99035,0.16046,0.091,0.00408,0.00045953,0.00045953,0.00045953
56,1323.99,0.3634,0.25347,0.00636,0.99484,0.98542,0.99476,0.99267,0.1638,0.08428,0.00402,0.000454818,0.000454818,0.000454818
57,1347.07,0.3632,0.27215,0.00652,0.98224,0.99512,0.99399,0.99193,0.14595,0.08124,0.00369,0.000450106,0.000450106,0.000450106
58,1370.06,0.37096,0.28736,0.0064,0.98684,0.9854,0.99456,0.99317,0.14252,0.0899,0.00352,0.000445393,0.000445393,0.000445393
59,1393.04,0.35882,0.27632,0.00604,0.98346,0.9878,0.99439,0.99023,0.14331,0.09001,0.00359,0.000440681,0.000440681,0.000440681
60,1415.95,0.36153,0.26426,0.00627,0.97847,0.988,0.99406,0.99299,0.12867,0.08609,0.00316,0.000435968,0.000435968,0.000435968
61,1438.85,0.34365,0.25522,0.00609,0.99046,0.98792,0.99471,0.99332,0.1263,0.07226,0.00316,0.000431256,0.000431256,0.000431256
62,1461.85,0.34786,0.25125,0.00605,0.98818,0.99578,0.99473,0.99399,0.14155,0.07441,0.00348,0.000426544,0.000426544,0.000426544
63,1484.96,0.35234,0.25759,0.00616,0.98421,0.98153,0.99406,0.99342,0.12298,0.08299,0.00303,0.000421831,0.000421831,0.000421831
64,1507.9,0.35598,0.25331,0.00624,0.99158,0.98777,0.99477,0.99218,0.13693,0.07586,0.00341,0.000417119,0.000417119,0.000417119
65,1530.69,0.34931,0.24417,0.00603,0.98611,0.99165,0.99431,0.99164,0.13481,0.08046,0.00341,0.000412406,0.000412406,0.000412406
66,1553.74,0.34965,0.23732,0.00626,0.99569,0.9823,0.9943,0.98983,0.15463,0.08722,0.00401,0.000407694,0.000407694,0.000407694
67,1576.6,0.34999,0.24007,0.00618,0.98233,0.98873,0.99469,0.99208,0.12642,0.07923,0.00318,0.000402982,0.000402982,0.000402982
68,1599.38,0.32158,0.23643,0.0056,0.99295,0.99155,0.99493,0.99353,0.13195,0.06997,0.00325,0.000398269,0.000398269,0.000398269
69,1622.25,0.32144,0.2461,0.00561,0.97079,0.97937,0.99455,0.99346,0.11673,0.09202,0.00283,0.000393557,0.000393557,0.000393557
70,1645.24,0.32988,0.23813,0.00577,0.9868,0.98469,0.99449,0.99279,0.11827,0.07624,0.00298,0.000388844,0.000388844,0.000388844
71,1668.11,0.32324,0.24446,0.00572,0.99287,0.98635,0.99454,0.99355,0.11656,0.07087,0.00284,0.000384132,0.000384132,0.000384132
72,1691.26,0.32508,0.25003,0.00564,0.99169,0.98451,0.9946,0.99323,0.11268,0.06786,0.0028,0.00037942,0.00037942,0.00037942
73,1714.31,0.33127,0.2437,0.0058,0.97913,0.98906,0.99382,0.99284,0.12229,0.08012,0.00294,0.000374707,0.000374707,0.000374707
74,1737.32,0.32335,0.21551,0.00557,0.9902,0.98983,0.99476,0.99378,0.11681,0.07467,0.0028,0.000369995,0.000369995,0.000369995
75,1760.22,0.32469,0.23708,0.00564,0.98374,0.98628,0.99451,0.99379,0.10974,0.07567,0.00267,0.000365282,0.000365282,0.000365282
76,1783.15,0.3048,0.22259,0.00529,0.99242,0.99147,0.99479,0.99394,0.11884,0.06562,0.00296,0.00036057,0.00036057,0.00036057
77,1805.9,0.33475,0.22986,0.00599,0.99299,0.98722,0.99465,0.99402,0.12279,0.07028,0.00309,0.000355858,0.000355858,0.000355858
78,1828.81,0.32839,0.21984,0.00553,0.99264,0.98807,0.99469,0.99384,0.11692,0.06606,0.00285,0.000351145,0.000351145,0.000351145
79,1851.74,0.31892,0.21944,0.00572,0.99602,0.99417,0.99485,0.99422,0.11039,0.06069,0.00268,0.000346433,0.000346433,0.000346433
80,1874.76,0.32373,0.23189,0.00554,0.99121,0.98374,0.99445,0.99368,0.10892,0.07055,0.00267,0.00034172,0.00034172,0.00034172
81,1897.63,0.31303,0.21869,0.00534,0.99177,0.98622,0.99478,0.99306,0.11111,0.06562,0.00278,0.000337008,0.000337008,0.000337008
82,1920.59,0.31116,0.22222,0.00529,0.98249,0.99429,0.99447,0.99356,0.10013,0.06694,0.00248,0.000332296,0.000332296,0.000332296
83,1943.63,0.30593,0.20877,0.0052,0.98079,0.98902,0.99452,0.99387,0.10475,0.08125,0.00258,0.000327583,0.000327583,0.000327583
84,1966.52,0.31085,0.22486,0.00544,0.98735,0.99495,0.99461,0.99387,0.11315,0.06657,0.00277,0.000322871,0.000322871,0.000322871
85,1989.46,0.29621,0.2137,0.00522,0.99475,0.9894,0.99491,0.99286,0.1218,0.06297,0.00312,0.000318158,0.000318158,0.000318158
86,2012.26,0.2883,0.20839,0.00496,0.99394,0.99416,0.99493,0.99349,0.0982,0.0566,0.00244,0.000313446,0.000313446,0.000313446
87,2035.04,0.2884,0.19668,0.0051,0.99218,0.99266,0.99477,0.99306,0.10179,0.05912,0.00263,0.000308734,0.000308734,0.000308734
88,2058.21,0.30301,0.19926,0.00528,0.99367,0.99208,0.9948,0.99379,0.10638,0.05951,0.0026,0.000304021,0.000304021,0.000304021
89,2081.1,0.2901,0.19599,0.00487,0.99447,0.98901,0.99478,0.99413,0.09162,0.05878,0.00228,0.000299309,0.000299309,0.000299309
90,2104.01,0.30529,0.20147,0.00537,0.99283,0.99495,0.99473,0.9939,0.12876,0.0652,0.00338,0.000294596,0.000294596,0.000294596
91,2127.03,0.27485,0.17256,0.00468,0.99534,0.98812,0.99468,0.99347,0.09641,0.05853,0.00241,0.000289884,0.000289884,0.000289884
92,2149.86,0.28228,0.17479,0.00478,0.99519,0.99451,0.99495,0.9941,0.09036,0.05234,0.00221,0.000285172,0.000285172,0.000285172
93,2172.92,0.28823,0.18855,0.00513,0.9933,0.9902,0.99487,0.99324,0.09596,0.06584,0.00243,0.000280459,0.000280459,0.000280459
94,2195.75,0.29346,0.18913,0.00503,0.99347,0.99244,0.99494,0.99353,0.09812,0.05847,0.00242,0.000275747,0.000275747,0.000275747
95,2218.9,0.2765,0.17443,0.00486,0.99356,0.98959,0.99474,0.99371,0.09536,0.06173,0.00232,0.000271034,0.000271034,0.000271034
