epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1302.38,0.58659,1.55992,0.00157,0.50625,0.27785,0.33577,0.30863,0.41534,1.53652,0.00145,0.000265811,0.000265811,0.000265811
44,1333.2,0.6085,1.5529,0.00161,0.28482,0.33232,0.34142,0.31312,0.42913,1.51447,0.00157,0.000261307,0.000261307,0.000261307
45,1363.82,0.60489,1.53434,0.00164,0.2929,0.33981,0.34453,0.31574,0.41849,1.50074,0.0015,0.000256802,0.000256802,0.000256802
46,1394.41,0.61094,1.509,0.00155,0.2982,0.34361,0.34873,0.31917,0.4145,1.47625,0.00138,0.000252298,0.000252298,0.000252298
47,1425.13,0.61287,1.54801,0.00168,0.2366,0.35797,0.35464,0.32416,0.41713,1.45195,0.00141,0.000247793,0.000247793,0.000247793
48,1456.23,0.55369,1.45378,0.00158,0.24494,0.37464,0.35921,0.32837,0.41141,1.4325,0.00132,0.000243289,0.000243289,0.000243289
49,1486.67,0.56703,1.48324,0.00152,0.25121,0.39774,0.36134,0.3302,0.41825,1.42551,0.00144,0.000238784,0.000238784,0.000238784
50,1517.74,0.54597,1.40198,0.00164,0.26695,0.43134,0.36347,0.33109,0.42048,1.41341,0.00157,0.00023428,0.00023428,0.00023428
51,1548.56,0.559,1.40271,0.00165,0.27865,0.44571,0.36858,0.33742,0.40293,1.39327,0.00131,0.000229775,0.000229775,0.000229775
52,1580.89,0.59747,1.40986,0.00163,0.28628,0.44909,0.37268,0.34136,0.39874,1.37682,0.00137,0.00022527,0.00022527,0.00022527
53,1612.22,0.62145,1.4292,0.00155,0.28287,0.44655,0.37464,0.3424,0.3982,1.36847,0.00137,0.000220766,0.000220766,0.000220766
54,1643.47,0.57996,1.39012,0.00159,0.28166,0.43884,0.38143,0.34946,0.38683,1.35255,0.00127,0.000216261,0.000216261,0.000216261
55,1674.35,0.55518,1.4283,0.00149,0.27573,0.44298,0.38459,0.35237,0.39859,1.33741,0.00134,0.000211757,0.000211757,0.000211757
56,1705.3,0.61017,1.34773,0.00146,0.28307,0.44222,0.38721,0.35261,0.41284,1.33411,0.00142,0.000207252,0.000207252,0.000207252
57,1735.92,0.60096,1.35924,0.00154,0.27768,0.45115,0.38917,0.35493,0.40466,1.32714,0.00137,0.000202748,0.000202748,0.000202748
58,1766.61,0.57386,1.34378,0.00145,0.27637,0.44319,0.39389,0.36062,0.40235,1.31462,0.00142,0.000198244,0.000198244,0.000198244
59,1797.61,0.55745,1.34148,0.0015,0.2915,0.46399,0.40221,0.36527,0.41576,1.30683,0.00143,0.000193739,0.000193739,0.000193739
60,1828.63,0.58881,1.32535,0.00148,0.3173,0.47569,0.40465,0.3701,0.39332,1.28628,0.00128,0.000189235,0.000189235,0.000189235
61,1859.47,0.55418,1.26477,0.00144,0.31984,0.47262,0.40491,0.37021,0.38863,1.2838,0.00129,0.00018473,0.00018473,0.00018473
62,1889.92,0.56672,1.2847,0.00147,0.31982,0.47046,0.40964,0.37297,0.39843,1.28047,0.00138,0.000180226,0.000180226,0.000180226
63,1920.15,0.50025,1.29822,0.00145,0.32834,0.4743,0.41055,0.37371,0.39619,1.27794,0.0013,0.000175721,0.000175721,0.000175721
64,1951.02,0.55317,1.27848,0.00141,0.33317,0.49275,0.41383,0.37839,0.4034,1.27292,0.00142,0.000171217,0.000171217,0.000171217
65,1982.27,0.59793,1.3147,0.00154,0.32248,0.49378,0.41722,0.38139,0.39626,1.26686,0.00143,0.000166712,0.000166712,0.000166712
